Release_sites,Latitude,Longitude
Brd,54.09011951,-0.026146494
Cor,51.82539894,-8.201552201
Cro,53.1586518,1.336889834
Eye,55.93785941,-1.942883214
Hel,54.18018086,7.889582439
Hoo,52.11655322,-6.942384582
Iom,54.14168274,-4.502309211
Ios,49.9179124,-6.309445202
Jer,49.18051777,-2.235840178
Kil,53.31078008,-9.885501939
Loo,50.34327521,-4.430701616
Lyn,52.8520268,-4.639581572
Mul,54.15184695,-10.26499471
Oos,52.05378961,3.681079899
Pad,50.72989689,-5.024146815
Pem,51.78963052,-5.335390662
Sbs,50.79669142,-0.247095308
Ven,52.12196439,-10.36551147
