Location,Particle_ID,Time,Latitude,Longitude
Brd,166,1,54.09329151,-0.028811013
Brd,166,2,54.18231962,0.050357209
Brd,166,3,54.15392143,0.180845538
Brd,166,4,54.14946734,0.232309828
Brd,166,5,54.15150627,0.195571461
Brd,166,6,54.10484765,0.183243873
Brd,166,7,54.03894595,0.175231845
Brd,166,8,53.99069955,0.139313261
Brd,166,9,53.95697637,0.086843704
Brd,166,10,53.89893147,0.069835799
Brd,166,11,53.80777351,0.126612249
Brd,166,12,53.70167508,0.299244366
Brd,166,13,53.72429156,0.431710575
Brd,166,14,53.78618173,0.465858014
Brd,166,15,53.83128284,0.44947024
Brd,166,16,53.85274726,0.405344902
Brd,166,17,53.82556664,0.391059098
Brd,166,18,53.7731343,0.454873211
Brd,166,19,53.6871655,0.592510436
Brd,166,20,53.58233717,0.763547602
Brd,166,21,53.50758776,0.847295709
Brd,166,22,53.49549635,0.849593662
Brd,166,23,53.47278666,0.92188414
Brd,166,24,53.46595711,0.993088141
Brd,166,25,53.49403529,1.006495547
Brd,166,26,53.49988695,1.041875891
Brd,166,27,53.52116242,1.069305274
Brd,166,28,53.57305627,1.094297607
Brd,166,29,53.62494742,1.098562741
Brd,3464,1,54.09190696,-0.031087677
Brd,3464,2,54.17349961,0.00571838
Brd,3464,3,54.14429248,0.170808275
Brd,3464,4,54.10793405,0.285263439
Brd,3464,5,54.0845573,0.351546889
Brd,3464,6,54.09910272,0.37393186
Brd,3464,7,54.12577275,0.437337387
Brd,3464,8,54.15450747,0.483647259
Brd,3464,9,54.18294394,0.473005426
Brd,3464,10,54.21528545,0.453997806
Brd,3464,11,54.24254409,0.42263113
Brd,3464,12,54.2507244,0.379835008
Brd,3464,13,54.24293385,0.340294584
Brd,3464,14,54.2242277,0.3066265
Brd,3464,15,54.19120343,0.279003005
Brd,3464,16,54.13279461,0.272026815
Brd,3464,17,54.07530253,0.270505711
Brd,3464,18,54.03621694,0.250671315
Brd,3464,19,54.01780321,0.222185621
Brd,3464,20,54.00910822,0.18887169
Brd,3464,21,54.01597991,0.142528109
Brd,3464,22,54.02981418,0.080847569
Brd,3464,23,54.07513503,-0.005741331
Brd,3464,24,54.17238755,0.085412296
Brd,3464,25,54.09771817,0.149312108
Brd,3464,26,54.03952397,0.0834646
Brd,3464,27,54.0227002,-0.022984226
Brd,3464,28,54.07398118,-0.109091732
Brd,3464,29,54.16266536,-0.076549917
Brd,5060,1,54.09299487,-0.029214789
Brd,5060,2,54.15717875,-0.013587253
Brd,5060,3,54.17127915,0.125619308
Brd,5060,4,54.17474653,0.182012698
Brd,5060,5,54.19365694,0.196969486
Brd,5060,6,54.20495186,0.216298689
Brd,5060,7,54.20661671,0.240461772
Brd,5060,8,54.19589304,0.263035832
Brd,5060,9,54.17421553,0.284270486
Brd,5060,10,54.14653298,0.30077575
Brd,5060,11,54.11764507,0.304612859
Brd,5060,12,54.07979925,0.299196431
Brd,5060,13,54.04224984,0.280185051
Brd,5060,14,54.01103559,0.25375236
Brd,5060,15,53.98993243,0.221093424
Brd,5060,16,53.97875463,0.180714941
Brd,5060,17,53.98434405,0.131006846
Brd,5060,18,54.00062916,0.071899413
Brd,5060,19,54.03452497,-0.0102367
Brd,5060,20,54.14347464,-0.052283868
